REGIONDESC,TIMEDESC,PRODHIERARCHY3,PRODHIERARCHY4,PRODHIERARCHY5,PRODHIERARCHY6,VOLUME,REVENUE_PESOS,ACTUALPRICE,DISTRIBUTION_NUMERIC,WEIGHTEDDISTRIBUTION,MAX_TEMP,MIN_TEMP,AVG_TEMP,PRECIPITATION,CATEGORY_SALES,CATEGORY_SALES_REGIONAL,BARILLITO_MC_PRICE,TECATE_MC_PRICE,HEINEKEN_MC_PRICE,INDIO_MC_PRICE,BOHEMIA_MC_PRICE,New_Years_Day,Christmas_Day,Day_of_Dead,Easter_Day,Fathers_Day,Independence_Day,Trend,seasonality_index,Year,GEODESC,CHANNELDESC,PRODDESC,GEODESC1,GEOGDESC
TOTAL AUTOS AREA 6,2018-11-25,LATA,NO RETORNABLE,6,251-400,0.82,23.485,28.6402439,8,8,100.4,48.2,77.65, 9.59 ,5918.74,1251.255,0.019554573000000002,0.004760881,-0.045447651,0.015016256,0.012688173999999998,0,0,0,0,0,0,1.0512002390000001,-0.019863996999999998,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 1,2018-07-29,BOTELLA,RETORNABLE,1,1001 O MAS,5.126,144.77100000000004,28.24248927,42,48,112.1,60.8,87.50659341, 2.08 ,7305.316999999999,865.28,-0.004077868,-0.017752569,-0.056512257,-0.036362532,-0.032729585,0,0,0,0,0,0,1.040421241,0.038618211,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 2,2019-03-31,BOTELLA,RETORNABLE,1,0-250,0.015,0.623,41.53333333,2,2,97.3,35.6,67.3, 5.08 ,7322.72,1716.217,-0.016281513,0.06814368900000001,-0.006878068,0.06663785400000001,0.030539687000000006,0,0,0,0,0,0,1.061979237,0.033368106,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 2,2018-12-02,BOTELLA,NO RETORNABLE,12,251-400,0.012,0.586,48.83333333,0,0,89.8,27.2,61.74, 5.70 ,6125.0819999999985,1680.463,-0.035397725,0.026323729,-0.03823624,0.020139976,0.009975338,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 4,2018-09-30,BOTELLA,RETORNABLE,1,0-250,0.013999999999999999,0.579,41.35714286,0,0,93.6,46.4,70.47, 16.41 ,5768.913000000001,719.3480000000003,0.018148893,-0.009140585,-0.041405803,-0.011678962,0.035147529,0,0,0,0,0,0,1.04581074,-0.021619771,2018,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
TOTAL AUTOS AREA 4,2019-11-24,BOTELLA,NO RETORNABLE,12,251-400,1.314,63.129,48.043378999999995,22,30,94.7,41.0,68.43, -   ,5690.221,745.4060000000003,0.040090662,-0.034220499,-0.039782212000000004,0.009360671,-0.022118975,0,0,0,0,0,0,1.083537232,-0.019863996999999998,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
TOTAL AUTOS AREA 1,2018-03-25,BOTELLA,NO RETORNABLE,6,251-400,0.716,28.326999999999998,39.56284916,16,27,98.6,42.8,69.88, -   ,7072.234,704.5169999999997,-0.00081689,-0.051172502,0.041881954,-0.011396037,-0.000795088,0,0,0,0,0,0,1.0296422440000002,0.033368106,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 5,2019-08-25,LATA,NO RETORNABLE,12,251-400,19.221,606.7919999999998,31.56922116,80,90,79.6,42.8,65.22, 2.02 ,6200.615,1025.0539999999999,0.026770891,-0.023022315,-0.047151359000000004,0.050749277999999995,0.052393262,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 6,2018-12-09,LATA,NO RETORNABLE,6,251-400,1.001,29.54300000000001,29.51348651,8,6,92.9,41.0,74.06, 5.19 ,7047.946999999999,1349.271,-0.077687805,0.0038688570000000003,-0.056036135,0.023893988999999997,0.012233829,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 1,2018-08-05,BOTELLA,RETORNABLE,1,1001 O MAS,5.712999999999999,160.741,28.136005600000004,44,48,111.2,62.6,85.84, 6.34 ,7532.505999999998,838.6560000000003,-0.009655079,0.004444476,-0.01723662,0.006325226999999999,-0.008646339,0,0,0,0,0,0,1.0431159909999999,0.008025792,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
